"Calendar_Year","scenario","DeltaOutflow_Jun_Aug","OMR_Apr_May","OMR_June","OMR_Feb","OMR_Mar"
1995,"Alt2_wTUCP",1164737.66104811,-2468.16007723005,-4525.60323611506,-4464.28571428571,-3423.00280962183
1995,"Alt2_woTUCP",1164863.92700358,-2452.32987954746,-4522.39047847244,-4464.28571428572,-3440.23016490387
1995,"EXP1",1956380.61593401,11436.305444211,11980.8465778308,1859.55561948314,12475.0725719579
1995,"EXP3",1831421.01616484,8944.86619977762,6767.52456544914,1960.5513105665,8703.43424088511
1995,"NAA",1178274.35144852,-2330.22689590869,-4509.02443922702,-4464.28571428572,-3436.66163730504
1996,"Alt2_wTUCP",661388.793998391,-4041.12442738991,-4505,-5000,-4400
1996,"Alt2_woTUCP",661403.671847288,-4041.22631058479,-4505,-5000,-4400
1996,"EXP1",577016.122946338,4629.27263297447,738.101036665008,10443.8331551167,6945.72850062401
1996,"EXP3",808740.671040286,3716.93264931984,643.466264882593,10108.45844664,6413.04554234479
1996,"NAA",670374.966579176,-1380.80354215441,-4745.84844824974,-4035.86206896552,-3500
1997,"Alt2_wTUCP",783083.081004538,-3241.16720124418,-3773.1241338,427.076724039573,-4394.76546132958
1997,"Alt2_woTUCP",783059.753516823,-3241.1404028373,-3773.05482490982,429.961771092024,-4394.38315259913
1997,"EXP1",142857.59339775,2537.29104263698,-88.4132959557646,11342.2067317131,5555.7940447488
1997,"EXP3",609798.586268006,2636.46815004126,486.341995655143,10586.8868167805,5188.07480242119
1997,"NAA",787669.319123132,-2140.69734676421,-4579.20660808433,2021.34514249206,-3500
1998,"Alt2_wTUCP",2094724.40456932,-1654.89820743872,-2283.94500930417,3412.56805187405,-4400
1998,"Alt2_woTUCP",2094757.71126875,-1650.81483437332,-2282.0995974392,3451.75840211678,-4400
1998,"EXP1",3094754.15321315,9949.50026836159,14783.7475673142,20848.58320776,9879.88614764822
1998,"EXP3",2831912.85671674,9503.57872941561,9076.78212206871,19256.3648964771,9133.02912868597
1998,"NAA",2089527.80888395,-1575.02619622017,-2373.81643165891,3276.52970331529,-3500
1999,"Alt2_wTUCP",712371.416458193,-3802.2024564492,-4505,-5000,-4400
1999,"Alt2_woTUCP",712355.149044147,-3801.17845407423,-4505,-5000,-4400
1999,"EXP1",386288.689455391,2627.89839620978,594.343640461535,6851.46568510209,3839.10234794815
1999,"EXP3",661325.204757798,2120.60438801973,416.492268236605,6847.08217076641,3346.24120100545
1999,"NAA",747594.633096623,-2281.04842603952,-5000,-4020.71428571429,-3500
2000,"Alt2_wTUCP",766247.446909711,-3810.89490460017,-4490,-4475,-4100
2000,"Alt2_woTUCP",766979.190494554,-3811.41836428192,-4490,-4475,-4100
2000,"EXP1",243489.246835316,3119.57268476313,14.1637414661956,9574.36639713149,5563.45907534426
2000,"EXP3",613515.584798107,2457.73866907979,0.309705381441986,8929.19835353048,4995.41215938583
2000,"NAA",789461.716177444,-1612.16972950153,-5000,-4160,-3500
2001,"Alt2_wTUCP",493912.858256964,-2487.77024145399,-3151.51797737438,-3580.35714285714,-3845
2001,"Alt2_woTUCP",493878.986455443,-2487.84956636525,-3144.56842069694,-3580.35714285714,-3845
2001,"EXP1",16953.9690819945,543.241411368691,-615.536201408861,1567.28964069651,1321.32330191014
2001,"EXP3",389671.332578339,607.279686104375,-525.288654706579,1575.14209126656,1219.71940692786
2001,"NAA",537292.787340289,-2212.07055961696,-2849.01536030209,-4316.42857142857,-4070
2002,"Alt2_wTUCP",561861.580457726,-2679.78998558734,-4475,-4030.35714285714,-3500
2002,"Alt2_woTUCP",561865.283493594,-2679.95399744145,-4475,-4030.35714285714,-3500
2002,"EXP1",31880.5408595049,495.656394152734,-660.910830012238,1119.78315667132,1252.19453492622
2002,"EXP3",459903.503909849,412.667740589291,-555.448839082631,780.866217571692,984.323463763851
2002,"NAA",541058.891692896,-2322.92064693862,-5000,-4143.92857142857,-3500
2003,"Alt2_wTUCP",739897.923598702,-2886.39356827316,-4490,-3741.07142857143,-3500
2003,"Alt2_woTUCP",739875.407876073,-2886.67963356909,-4490,-3741.07142857143,-3500
2003,"EXP1",290457.160775484,1118.79674281173,-473.292450367907,1195.76703688868,1156.46930949488
2003,"EXP3",753250.215327358,659.465839119686,-550.293966109284,962.506690243715,937.242284086299
2003,"NAA",772088.339597033,-2179.14089018799,-5000,-4020.71428571428,-3500
2004,"Alt2_wTUCP",801606.882455365,-2646.56265041143,-4490,-4138.79310344828,-3575
2004,"Alt2_woTUCP",801632.63328896,-2646.64648502153,-4490,-4138.79310344828,-3575
2004,"EXP1",89808.9236273845,401.508550205472,-639.923088246986,2120.44843393829,1479.2850730541
2004,"EXP3",528389.251700924,433.942129320632,-507.401620640772,2142.87988364966,1152.46092744599
2004,"NAA",838098.530101463,-2475.5315116574,-4689.4333333128,-4160,-3500
2005,"Alt2_wTUCP",908267.03206082,-3815.79543745491,-4850,-4030.35714285714,-3800
2005,"Alt2_woTUCP",908268.139708095,-3815.37099038576,-4850,-4030.35714285714,-3800
2005,"EXP1",1153195.78930949,8956.29042974587,6022.46227012234,3709.64250746892,6299.32616671719
2005,"EXP3",1276549.48029288,5722.27330505211,4481.72119800039,3992.7001119195,5748.2200290746
2005,"NAA",908279.718038785,-2164.70596302437,-5000,-4143.92857142857,-3500
2006,"Alt2_wTUCP",758761.9986,2865.51500190741,-4220.17865030565,-4464.28571428571,-3224.3278243025
2006,"Alt2_woTUCP",758761.9986,2866.73639197914,-4219.56880585107,-4464.28571428571,-3217.62585291923
2006,"EXP1",950098.333384812,17294.4022702248,5192.48528672039,4623.89301673955,7782.99904709827
2006,"EXP3",1099499.30723423,14002.937338261,4615.55092164149,5991.40204911286,7947.96162970275
2006,"NAA",768845.331934,2860.10590091581,-4217.4353337669,-4464.28571428571,-2421.40020142197
2007,"Alt2_wTUCP",625831.108763435,-2602.10562331382,-4475,-4030.35714285714,-3500
2007,"Alt2_woTUCP",625825.535461361,-2602.15096814709,-4475,-4030.35714285714,-3500
2007,"EXP1",27743.4695811042,380.415182879783,-701.264226875475,1755.29288971237,1129.18959227309
2007,"EXP3",445500,460.35663482199,-622.707479305021,1855.36007996691,968.878769834551
2007,"NAA",631074.545497863,-2317.05057029774,-5000,-4143.92857142857,-3500
2008,"Alt2_wTUCP",491092.556288573,-1909.10957070272,-4400,-4040.51724137931,-3843.84875895321
2008,"Alt2_woTUCP",491093.208301385,-1909.0343854052,-4400,-4040.51724137931,-3843.58717981895
2008,"EXP1",18484.1898118949,196.809641469569,-684.78779978448,1274.80307574459,750.151304109575
2008,"EXP3",383500,224.57084209168,-712.951591541378,1035.47545626165,577.610623683584
2008,"NAA",484318.313353431,-1819.01497749387,-5000,-4160,-3854.35346490903
2009,"Alt2_wTUCP",555724.99,-2847.21539877575,-4070.12460368318,-3808.03571428571,-3845
2009,"Alt2_woTUCP",555724.99,-2847.28017846642,-4056.04169374656,-3808.03571428571,-3845
2009,"EXP1",39676.5953653301,1046.7607780099,-387.191892887863,1945.18438849607,1335.31937626971
2009,"EXP3",531230.134684956,512.707042332346,-507.84809257387,1572.20871366256,771.629587780226
2009,"NAA",548850.01,-2301.51426370189,-4302.47945171535,-4415,-4070
2010,"Alt2_wTUCP",635432.467872391,-3466.73005564756,-4475,-4030.35714285714,-3500
2010,"Alt2_woTUCP",635399.97112492,-3466.66870051098,-4475,-4030.35714285714,-3500
2010,"EXP1",874036.898724368,2047.87773789932,2819.62812017367,1897.12976130352,1687.09043448035
2010,"EXP3",940349.321766222,1529.42711077294,1055.89188959893,1440.92823338498,1122.02819327453
2010,"NAA",631188.230577812,-1796.14920817841,-5000,-4143.92857142857,-3500
2011,"Alt2_wTUCP",1371043.00464596,-4670.92622973117,-5000,-3741.07142857143,442.638472859739
2011,"Alt2_woTUCP",1371030.22452756,-4670.62097226285,-5000,-3741.07142857143,442.69848117412
2011,"EXP1",2101257.4704821,9046.05307545788,9103.35861120605,5646.93515995417,12896.7043548721
2011,"EXP3",2069857.39027366,7610.22802812086,5580.07264377042,7152.60272592791,12741.9247485454
2011,"NAA",1387070.86739914,-2726.50983508645,-5000,-2313.38236492236,2687.14105324117
2012,"Alt2_wTUCP",577568.273118103,-2912.72898617223,-4475,-3011.99331885174,-3845
2012,"Alt2_woTUCP",577331.060645729,-2912.86008312529,-4475,-3011.18002257455,-3845
2012,"EXP1",67353.2904761579,577.262932183759,-657.635162657772,806.478196571925,1394.44451528393
2012,"EXP3",445500,612.736929461663,-560.939726159183,884.199509045919,1370.90747853888
2012,"NAA",601844.022898361,-2199.77706778187,-5000,-3631.85164648302,-4070
2013,"Alt2_wTUCP",476500,-1657.58973810197,-4400,-3875,-3500
2013,"Alt2_woTUCP",476500,-1657.4930644072,-4400,-3875,-3500
2013,"EXP1",0,179.533008325753,-646.611242405669,919.478930571446,752.062463987664
2013,"EXP3",383500,231.603110273041,-583.83198564569,619.258246276805,569.284584744748
2013,"NAA",476500,-1590.3988235555,-5000,-4460,-3500
2014,"Alt2_wTUCP",276000,-1583.06594289314,-1487.37111457193,-3808.03571428571,-4325
2014,"Alt2_woTUCP",337000,-1307.99507457981,-1814.42580878548,-3808.03571428571,-4325
2014,"EXP1",0,91.3393413411189,-976.888827925291,956.595942001778,953.84683379025
2014,"EXP3",276000,245.173352684178,-952.940817709174,967.280549773644,925.620934046001
2014,"NAA",276000,-1414.29080967423,-2042.68749605302,-4415,-4625
2015,"Alt2_wTUCP",291139.417834422,-1290.93524001372,-1721.58826761375,-3982.14285714286,-1294.51721182319
2015,"Alt2_woTUCP",428174.782012642,-1461.7198573578,-1491.13366604665,-3982.14285714286,-1296.79937467622
2015,"EXP1",0,59.9424202164438,-987.639421246336,891.775654801507,476.463845426529
2015,"EXP3",276000,204.603321963097,-954.787538586144,807.857488929501,476.933609494668
2015,"NAA",290484.978852692,-1092.50908436313,-2093.39803023691,-4316.42857142857,-1241.14606173634
2016,"Alt2_wTUCP",607799.933109229,-2823.65809399138,-4475,-3530.84233274935,-3845
2016,"Alt2_woTUCP",563682.512361342,-2824.7039655065,-4475,-2883.37796739472,-3845
2016,"EXP1",70779.474205353,1011.13380676961,-595.624263795656,1052.92007816076,2693.77318728137
2016,"EXP3",490231.974497084,705.127259707557,-501.824559351141,743.442946618846,1534.57815604476
2016,"NAA",546402.423656858,-2066.6002744714,-4999.99999999999,-4160,-4070
